PWM	Mouse_Gene_Name	Name_Human	ID	Superclass	Class	Family	Subfamily	References
MA0151.1.Arid3a	Arid3a	ARID3A	ARID3A_002	Helix-turn-helix.domains	ARID.domain.factors	ARID-related.factors	ARID3	JASPAR 2014
BU0001.Arid3a_primary	Arid3a	ARID3A	ARID3A_001	Helix-turn-helix.domains	ARID.domain.factors	ARID-related.factors	ARID3	Badis G et al., Science 2009
MA0601.1.Arid3b	Arid3b	ARID3B	ARID3A_003	Helix-turn-helix.domains	ARID.domain.factors	ARID-related.factors	ARID3	JASPAR 2016
ARNT_HUMAN.H11MO.0.B	Arnt	ARNT	ARNT_001	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	PAS.domain.factors	Arnt-like.factors	HOCOMOCO v11
MA0004.1.Arnt	Arnt	ARNT	ARNT_002	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	PAS.domain.factors	Arnt-like.factors	JASPAR 2014
ARNTL.Ca9864.1.YY2017.HT-SE2	Arntl	ARNTL	ARNTL_001	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	PAS.domain.factors	Arnt-like.factors	Yin Y et al., Science 2017
BMAL1_HUMAN.H11MO.0.A	Arntl	ARNTL	ARNTL_003	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	PAS.domain.factors	Arnt-like.factors	HOCOMOCO v11
ARNTL.Me9864.1.YY2017.HT-SE2	Arntl	ARNTL	ARNTL_002	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	PAS.domain.factors	Arnt-like.factors	Yin Y et al., Science 2017
MA0603.1.Arntl	Arntl	ARNTL	ARNTL_004	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	PAS.domain.factors	Arnt-like.factors	JASPAR 2016
TA0337_ARNTL_DBD_dimer	Arntl	ARNTL	ARNTL_005	Basic.domains	Basic.helix-loop-helix.factors.(bHLH)	PAS.domain.factors	Arnt-like.factors	Jolma A and Taipale J et al., Cell 2013
MA0604.1.Atf1	Atf1	ATF1	ATF1_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	JASPAR 2016
ATF1_HUMAN.H11MO.0.B	Atf1	ATF1	ATF1_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	HOCOMOCO v11
BU0004.Atf1_primary	Atf1	ATF1	ATF1_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	CREB-like.factors	Badis G et al., Science 2009
ATF2_HUMAN.H11MO.0.B	Atf2	ATF2	ATF2_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	ATF-2-like.factors	HOCOMOCO v11
ATF2.Me9792.2.YY2017.HT-SE2	Atf2	ATF2	ATF2_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	ATF-2-like.factors	Yin Y et al., Science 2017
ATF2.Me9792.1.YY2017.HT-SE2	Atf2	ATF2	ATF2_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	ATF-2-like.factors	Yin Y et al., Science 2017
ATF2.Ca9792.1.YY2017.HT-SE2	Atf2	ATF2	ATF2_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	ATF-2-like.factors	Yin Y et al., Science 2017
ATF2.Ca9792.2.YY2017.HT-SE2	Atf2	ATF2	ATF2_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Jun-related.factors	ATF-2-like.factors	Yin Y et al., Science 2017
ATF3.Ca9796.1.YY2017.HT-SE2	Atf3	ATF3	ATF3_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Fos-related.factors	ATF-3-like.factors	Yin Y et al., Science 2017
ATF3_HUMAN.H11MO.0.A	Atf3	ATF3	ATF3_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Fos-related.factors	ATF-3-like.factors	HOCOMOCO v11
ATF3.Me9796.1.YY2017.HT-SE2	Atf3	ATF3	ATF3_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Fos-related.factors	ATF-3-like.factors	Yin Y et al., Science 2017
MA0605.1.Atf3	Atf3	ATF3	ATF3_006	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Fos-related.factors	ATF-3-like.factors	JASPAR 2016
ATF3.Me9796.2.YY2017.HT-SE2	Atf3	ATF3	ATF3_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Fos-related.factors	ATF-3-like.factors	Yin Y et al., Science 2017
ATF3.Ca9796.2.YY2017.HT-SE2	Atf3	ATF3	ATF3_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	Fos-related.factors	ATF-3-like.factors	Yin Y et al., Science 2017
ATF4.Me9782.1.YY2017.HT-SE2	Atf4	ATF4	ATF4_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	ATF-4-related.factors	Unclassified	Yin Y et al., Science 2017
ATF4.Ca9782.1.YY2017.HT-SE2	Atf4	ATF4	ATF4_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	ATF-4-related.factors	Unclassified	Yin Y et al., Science 2017
MA0833.1.ATF4	Atf4	ATF4	ATF4_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	ATF-4-related.factors	Unclassified	JASPAR 2016
ATF4.Ca9782.2.YY2017.HT-SE2	Atf4	ATF4	ATF4_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	ATF-4-related.factors	Unclassified	Yin Y et al., Science 2017
TA0385_Atf4_DBD_dimer	Atf4	ATF4	ATF4_006	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	ATF-4-related.factors	Unclassified	Jolma A and Taipale J et al., Cell 2013
ATF4_HUMAN.H11MO.0.A	Atf4	ATF4	ATF4_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	ATF-4-related.factors	Unclassified	HOCOMOCO v11
ATF6.Ca9810.1.YY2017.HT-SE2	Atf6	ATF6	ATF6_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	ATF-6.factors	Yin Y et al., Science 2017
ATF6A_HUMAN.H11MO.0.B	Atf6	ATF6	ATF6_005	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	ATF-6.factors	HOCOMOCO v11
ATF6.Me9810.1.YY2017.HT-SE2	Atf6	ATF6	ATF6_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	ATF-6.factors	Yin Y et al., Science 2017
ATF6.Ca9810.2.YY2017.HT-SE2	Atf6	ATF6	ATF6_002	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	ATF-6.factors	Yin Y et al., Science 2017
ATF6.Me9810.2.YY2017.HT-SE2	Atf6	ATF6	ATF6_004	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	ATF-6.factors	Yin Y et al., Science 2017
ATF6B.Ca9809.1.YY2017.HT-SE2	Atf6b	ATF6B	ATF6B_001	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	ATF-6.factors	Yin Y et al., Science 2017
ATF6B.Ca9809.3.YY2017.HT-SE2	Atf6b	ATF6B	ATF6B_003	Basic.domains	Basic.leucine.zipper.factors.(bZIP)	CREB-related.factors	ATF-6.factors	Yin Y et al., Science 2017
