Ensmbl_IDs	Gene_Description	PWM	Mouse_Gene_Name	TPM_rep1	FPKM_rep1	TPM_rep2	FPKM_rep2
ENSMUSG00000019564	AT rich interactive domain 3A (BRIGHT-like) [Source:MGI Symbol;Acc:MGI:1328360]	MA0151.1.Arid3a	Arid3a	3.03	2.25	8.9	6.86
ENSMUSG00000019564	AT rich interactive domain 3A (BRIGHT-like) [Source:MGI Symbol;Acc:MGI:1328360]	BU0001.Arid3a_primary	Arid3a	3.03	2.25	8.9	6.86
ENSMUSG00000004661	AT rich interactive domain 3B (BRIGHT-like) [Source:MGI Symbol;Acc:MGI:1930768]	MA0601.1.Arid3b	Arid3b	22.54	16.72	19.55	15.07
ENSMUSG00000015522	aryl hydrocarbon receptor nuclear translocator [Source:MGI Symbol;Acc:MGI:88071]	ARNT_HUMAN.H11MO.0.B	Arnt	20.21	14.99	14.42	11.11
ENSMUSG00000015522	aryl hydrocarbon receptor nuclear translocator [Source:MGI Symbol;Acc:MGI:88071]	MA0004.1.Arnt	Arnt	20.21	14.99	14.42	11.11
ENSMUSG00000055116	aryl hydrocarbon receptor nuclear translocator-like [Source:MGI Symbol;Acc:MGI:1096381]	ARNTL.Ca9864.1.YY2017.HT-SE2	Arntl	5.55	4.12	5.29	4.08
ENSMUSG00000055116	aryl hydrocarbon receptor nuclear translocator-like [Source:MGI Symbol;Acc:MGI:1096381]	BMAL1_HUMAN.H11MO.0.A	Arntl	5.55	4.12	5.29	4.08
ENSMUSG00000055116	aryl hydrocarbon receptor nuclear translocator-like [Source:MGI Symbol;Acc:MGI:1096381]	ARNTL.Me9864.1.YY2017.HT-SE2	Arntl	5.55	4.12	5.29	4.08
ENSMUSG00000055116	aryl hydrocarbon receptor nuclear translocator-like [Source:MGI Symbol;Acc:MGI:1096381]	MA0603.1.Arntl	Arntl	5.55	4.12	5.29	4.08
ENSMUSG00000055116	aryl hydrocarbon receptor nuclear translocator-like [Source:MGI Symbol;Acc:MGI:1096381]	TA0337_ARNTL_DBD_dimer	Arntl	5.55	4.12	5.29	4.08
ENSMUSG00000023027	activating transcription factor 1 [Source:MGI Symbol;Acc:MGI:1298366]	MA0604.1.Atf1	Atf1	27.44	20.35	23.52	18.13
ENSMUSG00000023027	activating transcription factor 1 [Source:MGI Symbol;Acc:MGI:1298366]	ATF1_HUMAN.H11MO.0.B	Atf1	27.44	20.35	23.52	18.13
ENSMUSG00000023027	activating transcription factor 1 [Source:MGI Symbol;Acc:MGI:1298366]	BU0004.Atf1_primary	Atf1	27.44	20.35	23.52	18.13
ENSMUSG00000027104	activating transcription factor 2 [Source:MGI Symbol;Acc:MGI:109349]	ATF2_HUMAN.H11MO.0.B	Atf2	33.93	25.17	35.17	27.12
ENSMUSG00000027104	activating transcription factor 2 [Source:MGI Symbol;Acc:MGI:109349]	ATF2.Me9792.2.YY2017.HT-SE2	Atf2	33.93	25.17	35.17	27.12
ENSMUSG00000027104	activating transcription factor 2 [Source:MGI Symbol;Acc:MGI:109349]	ATF2.Me9792.1.YY2017.HT-SE2	Atf2	33.93	25.17	35.17	27.12
ENSMUSG00000027104	activating transcription factor 2 [Source:MGI Symbol;Acc:MGI:109349]	ATF2.Ca9792.1.YY2017.HT-SE2	Atf2	33.93	25.17	35.17	27.12
ENSMUSG00000027104	activating transcription factor 2 [Source:MGI Symbol;Acc:MGI:109349]	ATF2.Ca9792.2.YY2017.HT-SE2	Atf2	33.93	25.17	35.17	27.12
ENSMUSG00000026628	activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]	ATF3.Ca9796.1.YY2017.HT-SE2	Atf3	12.35	9.16	9.55	7.36
ENSMUSG00000026628	activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]	ATF3_HUMAN.H11MO.0.A	Atf3	12.35	9.16	9.55	7.36
ENSMUSG00000026628	activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]	ATF3.Me9796.1.YY2017.HT-SE2	Atf3	12.35	9.16	9.55	7.36
ENSMUSG00000026628	activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]	MA0605.1.Atf3	Atf3	12.35	9.16	9.55	7.36
ENSMUSG00000026628	activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]	ATF3.Me9796.2.YY2017.HT-SE2	Atf3	12.35	9.16	9.55	7.36
ENSMUSG00000026628	activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]	ATF3.Ca9796.2.YY2017.HT-SE2	Atf3	12.35	9.16	9.55	7.36
ENSMUSG00000042406	activating transcription factor 4 [Source:MGI Symbol;Acc:MGI:88096]	ATF4.Me9782.1.YY2017.HT-SE2	Atf4	64.05	47.52	65.95	50.84
ENSMUSG00000042406	activating transcription factor 4 [Source:MGI Symbol;Acc:MGI:88096]	ATF4.Ca9782.1.YY2017.HT-SE2	Atf4	64.05	47.52	65.95	50.84
ENSMUSG00000042406	activating transcription factor 4 [Source:MGI Symbol;Acc:MGI:88096]	MA0833.1.ATF4	Atf4	64.05	47.52	65.95	50.84
ENSMUSG00000042406	activating transcription factor 4 [Source:MGI Symbol;Acc:MGI:88096]	ATF4.Ca9782.2.YY2017.HT-SE2	Atf4	64.05	47.52	65.95	50.84
ENSMUSG00000042406	activating transcription factor 4 [Source:MGI Symbol;Acc:MGI:88096]	TA0385_Atf4_DBD_dimer	Atf4	64.05	47.52	65.95	50.84
ENSMUSG00000042406	activating transcription factor 4 [Source:MGI Symbol;Acc:MGI:88096]	ATF4_HUMAN.H11MO.0.A	Atf4	64.05	47.52	65.95	50.84
ENSMUSG00000026663	activating transcription factor 6 [Source:MGI Symbol;Acc:MGI:1926157]	ATF6.Ca9810.1.YY2017.HT-SE2	Atf6	12.06	8.95	9.56	7.37
ENSMUSG00000026663	activating transcription factor 6 [Source:MGI Symbol;Acc:MGI:1926157]	ATF6A_HUMAN.H11MO.0.B	Atf6	12.06	8.95	9.56	7.37
ENSMUSG00000026663	activating transcription factor 6 [Source:MGI Symbol;Acc:MGI:1926157]	ATF6.Me9810.1.YY2017.HT-SE2	Atf6	12.06	8.95	9.56	7.37
ENSMUSG00000026663	activating transcription factor 6 [Source:MGI Symbol;Acc:MGI:1926157]	ATF6.Ca9810.2.YY2017.HT-SE2	Atf6	12.06	8.95	9.56	7.37
ENSMUSG00000026663	activating transcription factor 6 [Source:MGI Symbol;Acc:MGI:1926157]	ATF6.Me9810.2.YY2017.HT-SE2	Atf6	12.06	8.95	9.56	7.37
ENSMUSG00000015461	activating transcription factor 6 beta [Source:MGI Symbol;Acc:MGI:105121]	ATF6B.Ca9809.1.YY2017.HT-SE2	Atf6b	35.33	26.21	28.65	22.08
ENSMUSG00000015461	activating transcription factor 6 beta [Source:MGI Symbol;Acc:MGI:105121]	ATF6B.Ca9809.3.YY2017.HT-SE2	Atf6b	35.33	26.21	28.65	22.08
ENSMUSG00000015461	activating transcription factor 6 beta [Source:MGI Symbol;Acc:MGI:105121]	ATF6B.Me9809.1.YY2017.HT-SE2	Atf6b	35.33	26.21	28.65	22.08
ENSMUSG00000015461	activating transcription factor 6 beta [Source:MGI Symbol;Acc:MGI:105121]	ATF6B.Me9809.2.YY2017.HT-SE2	Atf6b	35.33	26.21	28.65	22.08
ENSMUSG00000015461	activating transcription factor 6 beta [Source:MGI Symbol;Acc:MGI:105121]	ATF6B.Ca9809.2.YY2017.HT-SE2	Atf6b	35.33	26.21	28.65	22.08
ENSMUSG00000025612	BTB and CNC homology 1, basic leucine zipper transcription factor 1 [Source:MGI Symbol;Acc:MGI:894680]	BACH1_HUMAN.H11MO.0.A	Bach1	7.96	5.9	9.12	7.03
ENSMUSG00000025612	BTB and CNC homology 1, basic leucine zipper transcription factor 1 [Source:MGI Symbol;Acc:MGI:894680]	AJ_BACH1	Bach1	7.96	5.9	9.12	7.03
ENSMUSG00000040270	BTB and CNC homology, basic leucine zipper transcription factor 2 [Source:MGI Symbol;Acc:MGI:894679]	MA1101.1.BACH2	Bach2	6.41	4.76	5.61	4.33
ENSMUSG00000040270	BTB and CNC homology, basic leucine zipper transcription factor 2 [Source:MGI Symbol;Acc:MGI:894679]	BACH2_HUMAN.H11MO.0.A	Bach2	6.41	4.76	5.61	4.33
ENSMUSG00000040270	BTB and CNC homology, basic leucine zipper transcription factor 2 [Source:MGI Symbol;Acc:MGI:894679]	BACH2.Ca9804.2.YY2017.HT-SE2	Bach2	6.41	4.76	5.61	4.33
ENSMUSG00000040270	BTB and CNC homology, basic leucine zipper transcription factor 2 [Source:MGI Symbol;Acc:MGI:894679]	BACH2.Me9804.1.YY2017.HT-SE2	Bach2	6.41	4.76	5.61	4.33
ENSMUSG00000040270	BTB and CNC homology, basic leucine zipper transcription factor 2 [Source:MGI Symbol;Acc:MGI:894679]	BACH2.Ca9804.1.YY2017.HT-SE2	Bach2	6.41	4.76	5.61	4.33
ENSMUSG00000034266	basic leucine zipper transcription factor, ATF-like [Source:MGI Symbol;Acc:MGI:1859147]	BATF.Ca9794.1.YY2017.HT-SE2	Batf	3.17	2.35	4.66	3.59
ENSMUSG00000034266	basic leucine zipper transcription factor, ATF-like [Source:MGI Symbol;Acc:MGI:1859147]	BATF.Me9794.1.YY2017.HT-SE2	Batf	3.17	2.35	4.66	3.59
ENSMUSG00000034266	basic leucine zipper transcription factor, ATF-like [Source:MGI Symbol;Acc:MGI:1859147]	BATF_HUMAN.H11MO.0.A	Batf	3.17	2.35	4.66	3.59
ENSMUSG00000026630	basic leucine zipper transcription factor, ATF-like 3 [Source:MGI Symbol;Acc:MGI:1925491]	BATF3_HUMAN.H11MO.0.B	Batf3	2.76	2.05	3.56	2.74
ENSMUSG00000026630	basic leucine zipper transcription factor, ATF-like 3 [Source:MGI Symbol;Acc:MGI:1925491]	BATF3.Ca9793.2.YY2017.HT-SE2	Batf3	2.76	2.05	3.56	2.74
ENSMUSG00000026630	basic leucine zipper transcription factor, ATF-like 3 [Source:MGI Symbol;Acc:MGI:1925491]	BATF3.Ca9793.1.YY2017.HT-SE2	Batf3	2.76	2.05	3.56	2.74
ENSMUSG00000026630	basic leucine zipper transcription factor, ATF-like 3 [Source:MGI Symbol;Acc:MGI:1925491]	BATF3.Me9793.1.YY2017.HT-SE2	Batf3	2.76	2.05	3.56	2.74
ENSMUSG00000026630	basic leucine zipper transcription factor, ATF-like 3 [Source:MGI Symbol;Acc:MGI:1925491]	MA0835.1.BATF3	Batf3	2.76	2.05	3.56	2.74
ENSMUSG00000026630	basic leucine zipper transcription factor, ATF-like 3 [Source:MGI Symbol;Acc:MGI:1925491]	BATF3.Me9793.2.YY2017.HT-SE2	Batf3	2.76	2.05	3.56	2.74
ENSMUSG00000000861	B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]	BC11A_HUMAN.H11MO.0.A	Bcl11a	13.56	10.06	15.18	11.7
